"","Player","Team","Type","M","Inn","B","Runs","Wkts","Econ","Avg","SR","X5W","X10W"
"1","Virat Kohli","India","IPL",192,26,251,368,4,8.8,92,62.75,0,0
"2","Rohit Sharma","India","IPL",200,30,332,440,15,7.95,29.33,22.13,0,0
"3","Shikhar Dhawan","India","IPL",176,6,48,66,4,8.25,16.5,12,0,0
"4","Shubman Gill","India","IPL",41,0,0,0,0,0,0,0,0,0
"5","Shreyas Iyer","India","IPL",79,0,0,0,0,0,0,0,0,0
"6","Manish Pandey","India","IPL",146,0,0,0,0,0,0,0,0,0
"7","Mayank Agarwal","India","IPL",88,0,0,0,0,0,0,0,0,0
"8","Prithvi Shaw","India","IPL",38,0,0,0,0,0,0,0,0,0
"9","Cheteshwar Pujara","India","IPL",30,0,0,0,0,0,0,0,0,0
"10","Ajinkya Rahane","India","IPL",149,1,6,5,1,5,5,6,0,0
"11","Hardik Pandya","India","IPL",80,60,869,1313,42,9.07,31.26,20.69,0,0
"12","Hanuma Vihari","India","IPL",24,6,42,47,1,6.71,47,42,0,0
"13","Ravindra Jadeja","India","IPL",184,155,2713,3470,114,7.67,30.44,23.8,1,0
"14","Ravichandran Ashwin","India","IPL",154,151,3230,3700,138,6.87,26.81,23.41,0,0
"15","KL Rahul","India","IPL",81,0,0,0,0,0,0,0,0,0
"16","Sanju Samson","India","IPL",107,0,0,0,0,0,0,0,0,0
"17","Wriddhiman Saha","India","IPL",124,0,0,0,0,0,0,0,0,0
"18","Rishabh Pant","India","IPL",68,0,0,0,0,0,0,0,0,0
"19","Mohammed Shami","India","IPL",63,63,1354,2007,60,8.89,33.45,22.57,0,0
"20","Jasprit Bumrah","India","IPL",92,92,2092,2587,109,7.42,23.73,19.19,0,0
"21","Kuldeep Yadav","India","IPL",45,43,896,1236,40,8.28,30.9,22.4,0,0
"22","Yuzvendra Chahal","India","IPL",99,98,2130,2723,121,7.67,22.5,17.6,0,0
"23","Navdeep Saini","India","IPL",26,26,562,776,17,8.28,45.65,33.06,0,0
"24","Shardul Thakur","India","IPL",45,44,901,1340,46,8.92,29.13,19.59,0,0
"25","Umesh Yadav","India","IPL",121,120,2522,3579,119,8.51,30.08,21.19,0,0
"26","Mohammed Siraj","India","IPL",35,35,716,1084,39,9.08,27.79,18.36,0,0
"27","William Porterfield","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"28","James McCollum","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"29","Andrew Balbirnie","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"30","Tyrone Kane","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"31","Kevin O Brien","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"32","Paul Stirling","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"33","Stuart Thompson","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"34","Gary Wilson","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"35","Lorcan Tucker","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"36","Peter Chase","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"37","George Dockrell","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"38","Tim Murtagh","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"39","Mark Adair","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"40","Andy McBrine","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"41","Barry McCarthy","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"42","Boyd Rankin","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"43","Fakhar Zaman","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"44","Imam-ul-Haq","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"45","Babar Azam","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"46","Asif Ali","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"47","Haris Sohail","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"48","Mohammad Hafeez","Pakistan","IPL",8,4,60,68,2,6.8,34,30,0,0
"49","Shadab Khan","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"50","Imad Wasim","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"51","Sarfaraz Ahmed","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"52","Wahab Riaz","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"53","Shaheen Afridi","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"54","Hasan Ali","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"55","Mohammad Hasnain","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"56","Mohammad Amir","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"57","Aaron Finch","Australia","IPL",87,5,43,67,1,9.35,67,43,0,0
"58","Steven Smith","Australia","IPL",95,1,2,5,0,0,0,0,0,0
"59","David Warner","Australia","IPL",142,1,1,2,0,0,0,0,0,0
"60","Joe Burns","Australia","IPL",0,0,0,0,0,0,0,0,0,0
"61","Will Pucovski","Australia","IPL",0,0,0,0,0,0,0,0,0,0
"62","Glenn Maxwell","Australia","IPL",82,50,546,780,19,8.57,41.05,28.74,0,0
"63","Marcus Stoinis","Australia","IPL",46,37,545,852,28,9.38,30.43,19.46,0,0
"64","Moises Henriques","Australia","IPL",57,55,890,1244,38,8.39,32.74,23.42,0,0
"65","Marnus Labuschagne","Australia","IPL",0,0,0,0,0,0,0,0,0,0
"66","Travis Head","Australia","IPL",10,5,48,81,2,10.12,40.5,24,0,0
"67","Michael Neser","Australia","IPL",1,1,24,62,0,15.5,0,0,0,0
"68","Ashton Agar","Australia","IPL",0,0,0,0,0,0,0,0,0,0
"69","Cameron Green","Australia","IPL",0,0,0,0,0,0,0,0,0,0
"70","Daniel Sams","Australia","IPL",3,3,72,114,0,9.5,0,0,0,0
"71","Alex Carey","Australia","IPL",3,0,0,0,0,0,0,0,0,0
"72","Matthew Wade","Australia","IPL",3,0,0,0,0,0,0,0,0,0
"73","Tim Paine","Australia","IPL",2,0,0,0,0,0,0,0,0,0
"74","Pat Cummins","Australia","IPL",30,30,673,908,29,8.1,31.31,23.21,0,0
"75","Nathan Lyon","Australia","IPL",0,0,0,0,0,0,0,0,0,0
"76","Mitchell Starc","Australia","IPL",27,26,580,693,34,7.17,20.38,17.06,0,0
"77","Adam Zampa","Australia","IPL",14,14,287,370,21,7.74,17.62,13.67,1,0
"78","Sean Abbott","Australia","IPL",2,2,30,57,0,11.4,0,0,0,0
"79","Josh Hazlewood","Australia","IPL",3,3,60,64,1,6.4,64,60,0,0
"80","Andrew Tye","Australia","IPL",27,27,618,872,40,8.47,21.8,15.45,1,0
"81","James Pattinson","Australia","IPL",10,10,213,320,11,9.01,29.09,19.36,0,0
"82","Mitchell Swepson","Australia","IPL",0,0,0,0,0,0,0,0,0,0
"83","Lahiru Thirimanne","Sri-Lanka","IPL",0,0,0,0,0,0,0,0,0,0
"84","Dimuth Karunaratne","Sri-Lanka","IPL",0,0,0,0,0,0,0,0,0,0
"85","Avishka Fernando","Sri-Lanka","IPL",0,0,0,0,0,0,0,0,0,0
"86","Kusal Mendis","Sri-Lanka","IPL",0,0,0,0,0,0,0,0,0,0
"87","Angelo Mathews","Sri-Lanka","IPL",49,44,791,1079,27,8.18,39.96,29.3,0,0
"88","Dhananjaya de Silva","Sri-Lanka","IPL",0,0,0,0,0,0,0,0,0,0
"89","Milinda Siriwardana","Sri-Lanka","IPL",0,0,0,0,0,0,0,0,0,0
"90","Thisara Perera","Sri-Lanka","IPL",37,36,698,1016,31,8.73,32.77,22.52,0,0
"91","Isuru Udana","Sri-Lanka","IPL",10,10,174,282,8,9.72,35.25,21.75,0,0
"92","Jeevan Mendis","Sri-Lanka","IPL",3,2,30,36,1,7.2,36,30,0,0
"93","Kusal Perera","Sri-Lanka","IPL",2,0,0,0,0,0,0,0,0,0
"94","Suranga Lakmal","Sri-Lanka","IPL",0,0,0,0,0,0,0,0,0,0
"95","Lasith Malinga","Sri-Lanka","IPL",122,122,2827,3365,170,7.14,19.79,16.63,1,0
"96","Jeffrey Vandersay","Sri-Lanka","IPL",0,0,0,0,0,0,0,0,0,0
"97","Nuwan Pradeep","Sri-Lanka","IPL",0,0,0,0,0,0,0,0,0,0
"98","Tamim Iqbal","Bangladesh","IPL",0,0,0,0,0,0,0,0,0,0
"99","Soumya Sarkar","Bangladesh","IPL",0,0,0,0,0,0,0,0,0,0
"100","Sabbir Rahman","Bangladesh","IPL",0,0,0,0,0,0,0,0,0,0
"101","Mahmudullah","Bangladesh","IPL",0,0,0,0,0,0,0,0,0,0
"102","Shakib Al Hasan","Bangladesh","IPL",63,62,1328,1652,59,7.46,28,22.51,0,0
"103","Mohammad Saifuddin","Bangladesh","IPL",0,0,0,0,0,0,0,0,0,0
"104","Mosaddek Hossain","Bangladesh","IPL",0,0,0,0,0,0,0,0,0,0
"105","Mehidy Hasan","Bangladesh","IPL",0,0,0,0,0,0,0,0,0,0
"106","Mushfiqur Rahim","Bangladesh","IPL",0,0,0,0,0,0,0,0,0,0
"107","Liton Das","Bangladesh","IPL",0,0,0,0,0,0,0,0,0,0
"108","Mohammad Mithun","Bangladesh","IPL",0,0,0,0,0,0,0,0,0,0
"109","Mashrafe Mortaza","Bangladesh","IPL",1,1,24,58,0,14.5,0,0,0,0
"110","Rubel Hossain","Bangladesh","IPL",0,0,0,0,0,0,0,0,0,0
"111","Mustafizur Rahman","Bangladesh","IPL",24,24,547,685,24,7.51,28.54,22.79,0,0
"112","Abu Jayed","Bangladesh","IPL",0,0,0,0,0,0,0,0,0,0
"113","Eoin Morgan","England","IPL",66,0,0,0,0,0,0,0,0,0
"114","Joe Root","England","IPL",0,0,0,0,0,0,0,0,0,0
"115","Jason Roy","England","IPL",8,0,0,0,0,0,0,0,0,0
"116","Liam Livingstone","England","IPL",4,1,6,13,0,13,0,0,0,0
"117","Dawid Malan","England","IPL",0,0,0,0,0,0,0,0,0,0
"118","Moeen Ali","England","IPL",19,17,259,308,10,7.14,30.8,25.9,0,0
"119","Ben Stokes","England","IPL",42,36,677,962,28,8.53,34.36,24.18,0,0
"120","Chris Woakes","England","IPL",18,18,374,576,25,9.24,23.04,14.96,0,0
"121","Tom Curran","England","IPL",10,10,170,326,9,11.51,36.22,18.89,0,0
"122","Lewis Gregory","England","IPL",0,0,0,0,0,0,0,0,0,0
"123","Sam Curran","England","IPL",23,22,450,667,23,8.89,29,19.57,0,0
"124","Jonny Bairstow","England","IPL",21,0,0,0,0,0,0,0,0,0
"125","Jos Buttler","England","IPL",58,0,0,0,0,0,0,0,0,0
"126","Sam Billings","England","IPL",22,0,0,0,0,0,0,0,0,0
"127","Adil Rashid","England","IPL",0,0,0,0,0,0,0,0,0,0
"128","Mark Wood","England","IPL",1,1,24,49,0,12.25,0,0,0,0
"129","Jofra Archer","England","IPL",35,35,825,981,46,7.13,21.33,17.93,0,0
"130","Olly Stone","England","IPL",0,0,0,0,0,0,0,0,0,0
"131","Reece Topley","England","IPL",0,0,0,0,0,0,0,0,0,0
"132","Chris Jordan","England","IPL",20,20,387,602,21,9.33,28.67,18.43,0,0
"133","Darren Bravo","West-Indies","IPL",1,0,0,0,0,0,0,0,0,0
"134","Chris Gayle","West-Indies","IPL",132,38,554,729,18,7.9,40.5,30.78,0,0
"135","Evin Lewis","West-Indies","IPL",16,0,0,0,0,0,0,0,0,0
"136","Shimron Hetmyer","West-Indies","IPL",17,0,0,0,0,0,0,0,0,0
"137","Fabian Allen","West-Indies","IPL",0,0,0,0,0,0,0,0,0,0
"138","Jason Holder","West-Indies","IPL",18,18,384,539,19,8.42,28.37,20.21,0,0
"139","Andre Russell","West-Indies","IPL",74,68,1147,1713,61,8.96,28.08,18.8,0,0
"140","Carlos Brathwaite","West-Indies","IPL",16,16,254,379,13,8.95,29.15,19.54,0,0
"141","Shai Hope","West-Indies","IPL",0,0,0,0,0,0,0,0,0,0
"142","Nicholas Pooran","West-Indies","IPL",21,0,0,0,0,0,0,0,0,0
"143","Shannon Gabriel","West-Indies","IPL",0,0,0,0,0,0,0,0,0,0
"144","Kemar Roach","West-Indies","IPL",2,2,48,80,0,10,0,0,0,0
"145","Ashley Nurse","West-Indies","IPL",0,0,0,0,0,0,0,0,0,0
"146","Oshane Thomas","West-Indies","IPL",4,4,60,79,5,7.9,15.8,12,0,0
"147","Faf du Plessis","South-Africa","IPL",84,1,6,16,0,16,0,0,0,0
"148","David Miller","South-Africa","IPL",80,0,0,0,0,0,0,0,0,0
"149","Aiden Markram","South-Africa","IPL",0,0,0,0,0,0,0,0,0,0
"150","Rassie van der Dussen","South-Africa","IPL",0,0,0,0,0,0,0,0,0,0
"151","Jean-Paul Duminy","South-Africa","IPL",83,49,678,834,23,7.38,36.26,29.48,0,0
"152","Andile Phehlukwayo","South-Africa","IPL",0,0,0,0,0,0,0,0,0,0
"153","Dwaine Pretorius","South-Africa","IPL",0,0,0,0,0,0,0,0,0,0
"154","Chris Morris","South-Africa","IPL",70,70,1474,1919,80,7.81,23.99,18.43,0,0
"155","Quinton de Kock","South-Africa","IPL",66,0,0,0,0,0,0,0,0,0
"156","Imran Tahir","South-Africa","IPL",58,58,1292,1687,80,7.83,21.09,16.15,0,0
"157","Kagiso Rabada","South-Africa","IPL",35,35,804,1104,61,8.24,18.1,13.18,0,0
"158","Lungi Ngidi","South-Africa","IPL",11,11,252,323,20,7.69,16.15,12.6,0,0
"159","Tabraiz Shamsi","South-Africa","IPL",4,4,96,147,3,9.19,49,32,0,0
"160","Beuran Hendricks","South-Africa","IPL",7,7,150,235,9,9.4,26.11,16.67,0,0
"161","Craig Ervine","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"162","Hamilton Masakadza","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"163","Sikandar Raza","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"164","Sean Williams","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"165","Solomon Mire","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"166","Brian Chari","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"167","Timycen Maruma","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"168","Elton Chigumbura","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"169","Regis Chakabva","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"170","Brendan Taylor","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"171","Peter Moor","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"172","Tendai Chatara","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"173","Donald Tiripano","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"174","Chris Mpofu","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"175","Kyle Jarvis","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"176","Brandon Mavuta","Zimbabwe","IPL",0,0,0,0,0,0,0,0,0,0
"177","Martin Guptill","New-Zealand","IPL",13,0,0,0,0,0,0,0,0,0
"178","Ross Taylor","New-Zealand","IPL",55,2,12,24,0,12,0,0,0,0
"179","Kane Williamson","New-Zealand","IPL",53,2,18,31,0,10.33,0,0,0,0
"180","Henry Nicholls","New-Zealand","IPL",0,0,0,0,0,0,0,0,0,0
"181","James Neesham","New-Zealand","IPL",9,9,144,239,3,9.96,79.67,48,0,0
"182","Colin de Grandhomme","New-Zealand","IPL",25,19,216,319,6,8.86,53.17,36,0,0
"183","Colin Munro","New-Zealand","IPL",13,2,12,15,0,7.5,0,0,0,0
"184","Mitchell Santner","New-Zealand","IPL",6,6,126,147,6,7,24.5,21,0,0
"185","Tom Latham","New-Zealand","IPL",0,0,0,0,0,0,0,0,0,0
"186","Tom Blundell","New-Zealand","IPL",0,0,0,0,0,0,0,0,0,0
"187","Trent Boult","New-Zealand","IPL",48,48,1109,1577,63,8.53,25.03,17.6,0,0
"188","Matt Henry","New-Zealand","IPL",2,2,30,71,1,14.2,71,30,0,0
"189","Tim Southee","New-Zealand","IPL",40,40,888,1293,28,8.74,46.18,31.71,0,0
"190","Ish Sodhi","New-Zealand","IPL",8,8,181,202,9,6.7,22.44,20.11,0,0
"191","Lockie Ferguson","New-Zealand","IPL",14,14,299,424,11,8.51,38.55,27.18,0,0
"192","Hashmatullah Shahidi","Afghanistan","IPL",0,0,0,0,0,0,0,0,0,0
"193","Hazratullah Zazai","Afghanistan","IPL",0,0,0,0,0,0,0,0,0,0
"194","Najibullah Zadran","Afghanistan","IPL",0,0,0,0,0,0,0,0,0,0
"195","Noor Ali Zadran","Afghanistan","IPL",0,0,0,0,0,0,0,0,0,0
"196","Rahmat Shah","Afghanistan","IPL",0,0,0,0,0,0,0,0,0,0
"197","Samiullah Shinwari","Afghanistan","IPL",0,0,0,0,0,0,0,0,0,0
"198","Gulbadin Naib","Afghanistan","IPL",0,0,0,0,0,0,0,0,0,0
"199","Mohammad Nabi","Afghanistan","IPL",14,14,295,322,11,6.55,29.27,26.82,0,0
"200","Mohammad Shahzad","Afghanistan","IPL",0,0,0,0,0,0,0,0,0,0
"201","Aftab Alam","Afghanistan","IPL",0,0,0,0,0,0,0,0,0,0
"202","Dawlat Zadran","Afghanistan","IPL",0,0,0,0,0,0,0,0,0,0
"203","Hamid Hassan","Afghanistan","IPL",0,0,0,0,0,0,0,0,0,0
"204","Rashid Khan","Afghanistan","IPL",62,62,1476,1537,75,6.25,20.49,19.68,0,0
"205","Mujeeb Ur Rahman","Afghanistan","IPL",18,18,410,563,17,8.24,33.12,24.12,0,0
"206","Virat Kohli","India","ODI",251,48,641,665,4,6.22,166.25,160.25,0,0
"207","Rohit Sharma","India","ODI",224,38,593,515,8,5.21,64.38,74.12,0,0
"208","Shikhar Dhawan","India","ODI",139,0,0,0,0,0,0,0,0,0
"209","Shubman Gill","India","ODI",3,0,0,0,0,0,0,0,0,0
"210","Shreyas Iyer","India","ODI",21,2,12,15,0,7.5,0,0,0,0
"211","Manish Pandey","India","ODI",26,0,0,0,0,0,0,0,0,0
"212","Mayank Agarwal","India","ODI",5,1,6,10,0,10,0,0,0,0
"213","Prithvi Shaw","India","ODI",3,0,0,0,0,0,0,0,0,0
"214","Cheteshwar Pujara","India","ODI",5,0,0,0,0,0,0,0,0,0
"215","Ajinkya Rahane","India","ODI",90,0,0,0,0,0,0,0,0,0
"216","Hardik Pandya","India","ODI",57,54,2392,2219,55,5.57,40.35,43.49,0,0
"217","Hanuma Vihari","India","ODI",0,0,0,0,0,0,0,0,0,0
"218","Ravindra Jadeja","India","ODI",168,164,8557,7024,188,4.93,37.36,45.52,1,0
"219","Ravichandran Ashwin","India","ODI",111,109,6021,4937,150,4.92,32.91,40.14,0,0
"220","KL Rahul","India","ODI",35,0,0,0,0,0,0,0,0,0
"221","Sanju Samson","India","ODI",0,0,0,0,0,0,0,0,0,0
"222","Wriddhiman Saha","India","ODI",9,0,0,0,0,0,0,0,0,0
"223","Rishabh Pant","India","ODI",16,0,0,0,0,0,0,0,0,0
"224","Mohammed Shami","India","ODI",79,78,4044,3793,148,5.63,25.63,27.32,1,0
"225","Jasprit Bumrah","India","ODI",67,67,3523,2736,108,4.66,25.33,32.62,1,0
"226","Kuldeep Yadav","India","ODI",61,59,3252,2778,105,5.13,26.46,30.97,1,0
"227","Yuzvendra Chahal","India","ODI",54,53,2893,2511,92,5.21,27.29,31.45,2,0
"228","Navdeep Saini","India","ODI",7,7,390,454,6,6.98,75.67,65,0,0
"229","Shardul Thakur","India","ODI",12,12,582,660,15,6.8,44,38.8,0,0
"230","Umesh Yadav","India","ODI",75,73,3558,3565,106,6.01,33.63,33.57,0,0
"231","Mohammed Siraj","India","ODI",1,1,60,76,0,7.6,0,0,0,0
"232","William Porterfield","Ireland","ODI",138,0,0,0,0,0,0,0,0,0
"233","James McCollum","Ireland","ODI",9,0,0,0,0,0,0,0,0,0
"234","Andrew Balbirnie","Ireland","ODI",70,4,60,68,2,6.8,34,30,0,0
"235","Tyrone Kane","Ireland","ODI",0,0,0,0,0,0,0,0,0,0
"236","Kevin O Brien","Ireland","ODI",148,113,4224,3672,113,5.22,32.5,37.38,0,0
"237","Paul Stirling","Ireland","ODI",120,74,2393,1903,43,4.77,44.26,55.65,1,0
"238","Stuart Thompson","Ireland","ODI",19,16,559,490,12,5.26,40.83,46.58,0,0
"239","Gary Wilson","Ireland","ODI",104,0,0,0,0,0,0,0,0,0
"240","Lorcan Tucker","Ireland","ODI",12,0,0,0,0,0,0,0,0,0
"241","Peter Chase","Ireland","ODI",24,24,1238,1356,34,6.57,39.88,36.41,0,0
"242","George Dockrell","Ireland","ODI",87,85,4232,3328,89,4.72,37.39,47.55,0,0
"243","Tim Murtagh","Ireland","ODI",58,57,3020,2290,74,4.55,30.95,40.81,1,0
"244","Mark Adair","Ireland","ODI",14,14,645,691,17,6.43,40.65,37.94,0,0
"245","Andy McBrine","Ireland","ODI",48,47,2387,1806,48,4.54,37.62,49.73,0,0
"246","Barry McCarthy","Ireland","ODI",32,32,1590,1546,57,5.83,27.12,27.89,1,0
"247","Boyd Rankin","Ireland","ODI",75,73,3708,2958,107,4.79,27.64,34.65,0,0
"248","Fakhar Zaman","Pakistan","ODI",47,7,135,111,1,4.93,111,135,0,0
"249","Imam-ul-Haq","Pakistan","ODI",40,0,0,0,0,0,0,0,0,0
"250","Babar Azam","Pakistan","ODI",77,0,0,0,0,0,0,0,0,0
"251","Asif Ali","Pakistan","ODI",18,1,5,9,0,0,0,0,0,0
"252","Haris Sohail","Pakistan","ODI",42,21,642,613,11,5.73,55.73,58.36,0,0
"253","Mohammad Hafeez","Pakistan","ODI",218,177,7733,5401,139,4.19,38.86,55.63,0,0
"254","Shadab Khan","Pakistan","ODI",43,41,2088,1750,59,5.03,29.66,35.39,0,0
"255","Imad Wasim","Pakistan","ODI",55,53,2403,1957,44,4.89,44.48,54.61,1,0
"256","Sarfaraz Ahmed","Pakistan","ODI",116,1,12,15,0,7.5,0,0,0,0
"257","Wahab Riaz","Pakistan","ODI",91,90,4327,4117,120,5.71,34.31,36.06,1,0
"258","Shaheen Afridi","Pakistan","ODI",22,21,1104,974,45,5.29,21.64,24.53,2,0
"259","Hasan Ali","Pakistan","ODI",53,51,2548,2381,82,5.61,29.04,31.07,3,0
"260","Mohammad Hasnain","Pakistan","ODI",6,6,306,329,10,6.45,32.9,30.6,1,0
"261","Mohammad Amir","Pakistan","ODI",61,60,3013,2400,81,4.78,29.63,37.2,1,0
"262","Aaron Finch","Australia","ODI",132,21,284,259,4,5.47,64.75,71,0,0
"263","Steven Smith","Australia","ODI",128,40,1076,971,28,5.41,34.68,38.43,0,0
"264","David Warner","Australia","ODI",128,1,6,8,0,8,0,0,0,0
"265","Joe Burns","Australia","ODI",6,0,0,0,0,0,0,0,0,0
"266","Will Pucovski","Australia","ODI",0,0,0,0,0,0,0,0,0,0
"267","Glenn Maxwell","Australia","ODI",116,91,2840,2683,51,5.67,52.61,55.69,0,0
"268","Marcus Stoinis","Australia","ODI",45,42,1476,1506,33,6.12,45.64,44.73,0,0
"269","Moises Henriques","Australia","ODI",13,12,402,347,8,5.18,43.38,50.25,0,0
"270","Marnus Labuschagne","Australia","ODI",13,3,24,36,0,9,0,0,0,0
"271","Travis Head","Australia","ODI",42,26,765,737,12,5.78,61.42,63.75,0,0
"272","Michael Neser","Australia","ODI",2,2,100,120,2,7.2,60,50,0,0
"273","Ashton Agar","Australia","ODI",14,14,714,663,12,5.57,55.25,59.5,0,0
"274","Cameron Green","Australia","ODI",1,1,24,27,0,6.75,0,0,0,0
"275","Daniel Sams","Australia","ODI",0,0,0,0,0,0,0,0,0,0
"276","Alex Carey","Australia","ODI",42,0,0,0,0,0,0,0,0,0
"277","Matthew Wade","Australia","ODI",94,0,0,0,0,0,0,0,0,0
"278","Tim Paine","Australia","ODI",35,0,0,0,0,0,0,0,0,0
"279","Pat Cummins","Australia","ODI",69,69,3651,3195,111,5.25,28.78,32.89,1,0
"280","Nathan Lyon","Australia","ODI",29,29,1626,1334,29,4.92,46,56.07,0,0
"281","Mitchell Starc","Australia","ODI",96,96,4936,4263,184,5.18,23.17,26.83,7,0
"282","Adam Zampa","Australia","ODI",61,61,3248,3004,92,5.55,32.65,35.3,0,0
"283","Sean Abbott","Australia","ODI",2,2,90,109,2,7.27,54.5,45,0,0
"284","Josh Hazlewood","Australia","ODI",54,53,2885,2304,88,4.79,26.18,32.78,3,0
"285","Andrew Tye","Australia","ODI",7,7,387,392,12,6.08,32.67,32.25,1,0
"286","James Pattinson","Australia","ODI",15,15,727,681,16,5.62,42.56,45.44,0,0
"287","Mitchell Swepson","Australia","ODI",0,0,0,0,0,0,0,0,0,0
"288","Lahiru Thirimanne","Sri-Lanka","ODI",127,4,104,94,3,5.42,31.33,34.67,0,0
"289","Dimuth Karunaratne","Sri-Lanka","ODI",31,2,16,18,0,6.75,0,0,0,0
"290","Avishka Fernando","Sri-Lanka","ODI",18,0,0,0,0,0,0,0,0,0
"291","Kusal Mendis","Sri-Lanka","ODI",76,2,20,28,0,8.4,0,0,0,0
"292","Angelo Mathews","Sri-Lanka","ODI",217,158,5191,4003,120,4.63,33.36,43.26,1,0
"293","Dhananjaya de Silva","Sri-Lanka","ODI",45,37,1076,928,22,5.17,42.18,48.91,0,0
"294","Milinda Siriwardana","Sri-Lanka","ODI",27,21,601,547,9,5.46,60.78,66.78,0,0
"295","Thisara Perera","Sri-Lanka","ODI",164,155,5828,5668,172,5.84,32.95,33.88,4,0
"296","Isuru Udana","Sri-Lanka","ODI",18,18,783,810,16,6.21,50.62,48.94,0,0
"297","Jeevan Mendis","Sri-Lanka","ODI",58,49,1404,1204,28,5.15,43,50.14,0,0
"298","Kusal Perera","Sri-Lanka","ODI",101,0,0,0,0,0,0,0,0,0
"299","Suranga Lakmal","Sri-Lanka","ODI",85,83,3824,3478,107,5.46,32.5,35.74,0,0
"300","Lasith Malinga","Sri-Lanka","ODI",226,220,10936,9759,338,5.35,28.87,32.36,8,0
"301","Jeffrey Vandersay","Sri-Lanka","ODI",12,11,491,480,11,5.87,43.64,44.64,0,0
"302","Nuwan Pradeep","Sri-Lanka","ODI",45,43,2119,2099,57,5.94,36.82,37.18,0,0
"303","Tamim Iqbal","Bangladesh","ODI",207,2,6,13,0,13,0,0,0,0
"304","Soumya Sarkar","Bangladesh","ODI",55,14,324,318,9,5.89,35.33,36,0,0
"305","Sabbir Rahman","Bangladesh","ODI",66,21,306,345,3,6.76,115,102,0,0
"306","Mahmudullah","Bangladesh","ODI",188,136,4132,3562,76,5.17,46.87,54.37,0,0
"307","Shakib Al Hasan","Bangladesh","ODI",206,203,10517,7857,260,4.48,30.22,40.45,2,0
"308","Mohammad Saifuddin","Bangladesh","ODI",22,22,993,972,31,5.87,31.35,32.03,0,0
"309","Mosaddek Hossain","Bangladesh","ODI",35,33,902,787,14,5.24,56.21,64.43,0,0
"310","Mehidy Hasan","Bangladesh","ODI",41,40,2095,1625,40,4.65,40.62,52.38,0,0
"311","Mushfiqur Rahim","Bangladesh","ODI",218,0,0,0,0,0,0,0,0,0
"312","Liton Das","Bangladesh","ODI",36,0,0,0,0,0,0,0,0,0
"313","Mohammad Mithun","Bangladesh","ODI",27,0,0,0,0,0,0,0,0,0
"314","Mashrafe Mortaza","Bangladesh","ODI",220,220,10928,8897,270,4.88,32.95,40.47,1,0
"315","Rubel Hossain","Bangladesh","ODI",101,99,4540,4300,126,5.68,34.13,36.03,1,0
"316","Mustafizur Rahman","Bangladesh","ODI",58,57,2885,2512,109,5.22,23.05,26.47,5,0
