"","Player","Team","Type","M","Inn","B","Runs","Wkts","Econ","Avg","SR","X5W","X10W"
"563","Dwaine Pretorius","South-Africa","T20",11,10,174,244,7,8.41,34.86,24.86,0,0
"564","Chris Morris","South-Africa","T20",23,23,498,697,34,8.4,20.5,14.65,0,0
"565","Quinton de Kock","South-Africa","T20",47,0,0,0,0,0,0,0,0,0
"566","Imran Tahir","South-Africa","T20",38,38,845,948,63,6.73,15.05,13.41,2,0
"567","Kagiso Rabada","South-Africa","T20",26,26,577,819,31,8.52,26.42,18.61,0,0
"568","Lungi Ngidi","South-Africa","T20",16,16,320,477,28,8.94,17.04,11.43,0,0
"569","Tabraiz Shamsi","South-Africa","T20",25,25,546,699,21,7.68,33.29,26,0,0
"570","Beuran Hendricks","South-Africa","T20",14,14,289,451,20,9.36,22.55,14.45,0,0
"571","Craig Ervine","Zimbabwe","T20",25,0,0,0,0,0,0,0,0,0
"572","Hamilton Masakadza","Zimbabwe","T20",65,9,72,113,2,9.42,56.5,36,0,0
"573","Sikandar Raza","Zimbabwe","T20",36,26,336,464,12,8.29,38.67,28,0,0
"574","Sean Williams","Zimbabwe","T20",42,41,792,959,32,7.27,29.97,24.75,0,0
"575","Solomon Mire","Zimbabwe","T20",9,5,72,115,1,9.58,115,72,0,0
"576","Brian Chari","Zimbabwe","T20",3,0,0,0,0,0,0,0,0,0
"577","Timycen Maruma","Zimbabwe","T20",13,2,18,20,1,6.67,20,18,0,0
"578","Elton Chigumbura","Zimbabwe","T20",56,20,258,404,14,9.4,28.86,18.43,0,0
"579","Regis Chakabva","Zimbabwe","T20",12,0,0,0,0,0,0,0,0,0
"580","Brendan Taylor","Zimbabwe","T20",42,2,30,17,1,3.4,17,30,0,0
"581","Peter Moor","Zimbabwe","T20",21,0,0,0,0,0,0,0,0,0
"582","Tendai Chatara","Zimbabwe","T20",22,22,468,616,26,7.9,23.69,18,0,0
"583","Donald Tiripano","Zimbabwe","T20",13,13,255,352,11,8.28,32,23.18,0,0
"584","Chris Mpofu","Zimbabwe","T20",32,32,694,1036,33,8.96,31.39,21.03,0,0
"585","Kyle Jarvis","Zimbabwe","T20",21,21,424,630,26,8.92,24.23,16.31,0,0
"586","Brandon Mavuta","Zimbabwe","T20",3,3,72,81,2,6.75,40.5,36,0,0
"587","Martin Guptill","New-Zealand","T20",94,1,6,11,0,11,0,0,0,0
"588","Ross Taylor","New-Zealand","T20",102,0,0,0,0,0,0,0,0,0
"589","Kane Williamson","New-Zealand","T20",62,12,118,164,6,8.34,27.33,19.67,0,0
"590","Henry Nicholls","New-Zealand","T20",5,0,0,0,0,0,0,0,0,0
"591","James Neesham","New-Zealand","T20",24,20,277,414,16,8.97,25.88,17.31,0,0
"592","Colin de Grandhomme","New-Zealand","T20",36,19,299,445,11,8.93,40.45,27.18,0,0
"593","Colin Munro","New-Zealand","T20",65,12,118,186,4,9.46,46.5,29.5,0,0
"594","Mitchell Santner","New-Zealand","T20",48,47,953,1190,54,7.49,22.04,17.65,0,0
"595","Tom Latham","New-Zealand","T20",13,0,0,0,0,0,0,0,0,0
"596","Tom Blundell","New-Zealand","T20",3,0,0,0,0,0,0,0,0,0
"597","Trent Boult","New-Zealand","T20",29,29,641,930,39,8.71,23.85,16.44,0,0
"598","Matt Henry","New-Zealand","T20",6,6,132,191,7,8.68,27.29,18.86,0,0
"599","Tim Southee","New-Zealand","T20",74,72,1584,2223,87,8.42,25.55,18.21,1,0
"600","Ish Sodhi","New-Zealand","T20",50,48,1023,1367,56,8.02,24.41,18.27,0,0
"601","Lockie Ferguson","New-Zealand","T20",11,11,240,278,21,6.95,13.24,11.43,1,0
"602","Hashmatullah Shahidi","Afghanistan","T20",0,0,0,0,0,0,0,0,0,0
"603","Hazratullah Zazai","Afghanistan","T20",15,0,0,0,0,0,0,0,0,0
"604","Najibullah Zadran","Afghanistan","T20",60,0,0,0,0,0,0,0,0,0
"605","Noor Ali Zadran","Afghanistan","T20",19,0,0,0,0,0,0,0,0,0
"606","Rahmat Shah","Afghanistan","T20",0,0,0,0,0,0,0,0,0,0
"607","Samiullah Shinwari","Afghanistan","T20",63,37,600,671,25,6.71,26.84,24,1,0
"608","Gulbadin Naib","Afghanistan","T20",48,31,450,621,17,8.28,36.53,26.47,0,0
"609","Mohammad Nabi","Afghanistan","T20",77,76,1540,1857,69,7.24,26.91,22.32,0,0
"610","Mohammad Shahzad","Afghanistan","T20",64,0,0,0,0,0,0,0,0,0
"611","Aftab Alam","Afghanistan","T20",13,13,269,349,15,7.78,23.27,17.93,0,0
"612","Dawlat Zadran","Afghanistan","T20",34,34,736,950,43,7.74,22.09,17.12,0,0
"613","Hamid Hassan","Afghanistan","T20",21,21,460,519,29,6.77,17.9,15.86,0,0
"614","Rashid Khan","Afghanistan","T20",48,48,1098,1124,89,6.14,12.63,12.34,2,0
"615","Mujeeb Ur Rahman","Afghanistan","T20",19,19,432,443,25,6.15,17.72,17.28,0,0
"616","Virat Kohli","India","Test",87,11,175,84,0,2.88,0,0,0,0
"617","Rohit Sharma","India","Test",33,14,370,216,2,3.5,108,185,0,0
"618","Shikhar Dhawan","India","Test",34,5,54,18,0,2,0,0,0,0
"619","Shubman Gill","India","Test",2,0,0,0,0,0,0,0,0,0
"620","Shreyas Iyer","India","Test",0,0,0,0,0,0,0,0,0,0
"621","Manish Pandey","India","Test",0,0,0,0,0,0,0,0,0,0
"622","Mayank Agarwal","India","Test",13,0,0,0,0,0,0,0,0,0
"623","Prithvi Shaw","India","Test",5,0,0,0,0,0,0,0,0,0
"624","Cheteshwar Pujara","India","Test",80,1,6,2,0,2,0,0,0,0
"625","Ajinkya Rahane","India","Test",68,0,0,0,0,0,0,0,0,0
"626","Hardik Pandya","India","Test",11,19,937,528,17,3.38,31.06,55.12,1,0
"627","Hanuma Vihari","India","Test",12,10,345,180,5,3.13,36,69,0,0
"628","Ravindra Jadeja","India","Test",51,97,13137,5351,220,2.44,24.32,59.71,9,1
"629","Ravichandran Ashwin","India","Test",74,138,20391,9628,377,2.83,25.54,54.09,27,7
"630","KL Rahul","India","Test",36,0,0,0,0,0,0,0,0,0
"631","Sanju Samson","India","Test",0,0,0,0,0,0,0,0,0,0
"632","Wriddhiman Saha","India","Test",38,0,0,0,0,0,0,0,0,0
"633","Rishabh Pant","India","Test",15,0,0,0,0,0,0,0,0,0
"634","Mohammed Shami","India","Test",50,95,8999,4966,180,3.31,27.59,49.99,5,0
"635","Jasprit Bumrah","India","Test",17,34,3787,1706,79,2.7,21.59,47.94,5,0
"636","Kuldeep Yadav","India","Test",6,10,989,579,24,3.51,24.12,41.21,2,0
"637","Yuzvendra Chahal","India","Test",0,0,0,0,0,0,0,0,0,0
"638","Navdeep Saini","India","Test",1,2,174,119,4,4.1,29.75,43.5,0,0
"639","Shardul Thakur","India","Test",1,1,10,9,0,5.4,0,0,0,0
"640","Umesh Yadav","India","Test",48,94,7621,4521,148,3.56,30.55,51.49,3,1
"641","Mohammed Siraj","India","Test",2,4,519,234,7,2.71,33.43,74.14,0,0
"642","William Porterfield","Ireland","Test",3,0,0,0,0,0,0,0,0,0
"643","James McCollum","Ireland","Test",2,0,0,0,0,0,0,0,0,0
"644","Andrew Balbirnie","Ireland","Test",3,1,6,8,0,8,0,0,0,0
"645","Tyrone Kane","Ireland","Test",1,2,156,103,0,3.96,0,0,0,0
"646","Kevin O Brien","Ireland","Test",3,2,60,31,0,3.1,0,0,0,0
"647","Paul Stirling","Ireland","Test",3,1,12,11,0,5.5,0,0,0,0
"648","Stuart Thompson","Ireland","Test",3,6,410,204,10,2.99,20.4,41,0,0
"649","Gary Wilson","Ireland","Test",2,0,0,0,0,0,0,0,0,0
"650","Lorcan Tucker","Ireland","Test",0,0,0,0,0,0,0,0,0,0
"651","Peter Chase","Ireland","Test",0,0,0,0,0,0,0,0,0,0
"652","George Dockrell","Ireland","Test",1,2,240,121,2,3.02,60.5,120,0,0
"653","Tim Murtagh","Ireland","Test",3,6,570,213,13,2.24,16.38,43.85,1,0
"654","Mark Adair","Ireland","Test",1,2,166,98,6,3.54,16.33,27.67,0,0
"655","Andy McBrine","Ireland","Test",2,3,300,159,3,3.18,53,100,0,0
"656","Barry McCarthy","Ireland","Test",0,0,0,0,0,0,0,0,0,0
"657","Boyd Rankin","Ireland","Test",3,6,443,304,8,4.12,38,55.38,0,0
"658","Fakhar Zaman","Pakistan","Test",3,0,0,0,0,0,0,0,0,0
"659","Imam-ul-Haq","Pakistan","Test",11,0,0,0,0,0,0,0,0,0
"660","Babar Azam","Pakistan","Test",29,0,0,0,0,0,0,0,0,0
"661","Asif Ali","Pakistan","Test",0,0,0,0,0,0,0,0,0,0
"662","Haris Sohail","Pakistan","Test",16,17,630,294,13,2.8,22.62,48.46,0,0
"663","Mohammad Hafeez","Pakistan","Test",55,77,4067,1808,53,2.67,34.11,76.74,0,0
"664","Shadab Khan","Pakistan","Test",6,11,954,513,14,3.23,36.64,68.14,0,0
"665","Imad Wasim","Pakistan","Test",0,0,0,0,0,0,0,0,0,0
"666","Sarfaraz Ahmed","Pakistan","Test",49,0,0,0,0,0,0,0,0,0
"667","Wahab Riaz","Pakistan","Test",27,49,5018,2864,83,3.42,34.51,60.46,2,0
"668","Shaheen Afridi","Pakistan","Test",13,19,2565,1354,41,3.17,33.02,62.56,1,0
"669","Hasan Ali","Pakistan","Test",9,17,1737,896,31,3.09,28.9,56.03,1,0
"670","Mohammad Hasnain","Pakistan","Test",0,0,0,0,0,0,0,0,0,0
"671","Mohammad Amir","Pakistan","Test",36,67,7619,3627,119,2.86,30.48,64.03,4,0
"672","Aaron Finch","Australia","Test",5,1,12,8,0,4,0,0,0,0
"673","Steven Smith","Australia","Test",76,54,1381,960,17,4.17,56.47,81.24,0,0
"674","David Warner","Australia","Test",85,19,342,269,4,4.72,67.25,85.5,0,0
"675","Joe Burns","Australia","Test",23,0,0,0,0,0,0,0,0,0
"676","Will Pucovski","Australia","Test",1,0,0,0,0,0,0,0,0,0
"677","Glenn Maxwell","Australia","Test",7,9,462,341,8,4.43,42.62,57.75,0,0
"678","Marcus Stoinis","Australia","Test",0,0,0,0,0,0,0,0,0,0
"679","Moises Henriques","Australia","Test",4,4,330,164,2,2.98,82,165,0,0
"680","Marnus Labuschagne","Australia","Test",17,24,810,496,12,3.67,41.33,67.5,0,0
